Test Version, drone_x, drone_y, drone_z, us_0, us_1, us_2, us_3, us_4, us_5, raw_accel_x, raw_accel_y, raw_accel_z, filt_accel_x, filt_accel_y, filt_accel_z, raw_vel_x, raw_vel_y, raw_vel_z, filt_vel_x, filt_vel_y, filt_vel_z, raw_pos_x, raw_pos_y, raw_pos_z, filt_pos_x, filt_pos_y, filt_pos_z, heading, compass_x, compass_y, compass_z, millis, recording_enabled,temp
0,0,0,0,2079,133,285,2131,316,291,-306.437469,-122.57502,-61.287498,-61.287495,-24.515003,-12.2575,160.818542,50.071869,3744.6604,32.163681,10.014339,748.934448,2184.073975,1592.422974,57187.04297,436.814392,318.484161,11437.44336,64.504341,0.975,3.775,-0.35,47757.0000000.000000,,15
0,0,0,0,2062,147,316,2132,134,285,490.299988,122.57502,245.149994,98.059998,24.515003,49.029999,175.098511,53.749123,3807.848389,35.01968,10.74979,761.571777,2263.33374,1616.983521,59015.23047,452.666412,323.39624,11803.07715,64.678757,0.95,3.725,-0.4,48548.0000000.000000,,14
0,0,0,0,1999,128,234,2875,132,198,-551.587463,-245.150024,61.287514,-110.31749,-49.030006,12.257503,165.476364,53.136238,3864.723145,33.095253,10.627213,772.946716,2335.091797,1639.671509,60753.45703,467.018066,327.933838,12150.72168,64.054688,1,3.75,-0.3,49398.0000000.000000,,14
0,0,0,0,1998,182,297,2152,130,233,-490.299957,-183.862518,0.000006,-98.05999,-36.772503,0.000001,181.411118,61.164894,3921.904297,36.282204,12.232944,784.382996,2421.07373,1668.564941,62534.46484,484.214478,333.712555,12506.92188,63.795223,1.025,3.775,-0.275,50199.0000000.000000,,14
0,0,0,0,2912,134,216,2132,128,266,429.012451,306.437531,306.4375,85.80249,61.287506,61.287498,208.561447,69.377419,3992.568848,41.712269,13.875452,798.515808,2525.019531,1703.082886,64609.44922,505.003632,340.61615,12921.91797,63.698673,1.025,3.75,-0.35,51059.0000000.000000,,15
0,0,0,0,2045,136,218,2233,127,284,-306.437439,-183.862518,0.000006,-61.287487,-36.772503,0.000001,199.61351,60.919731,4037.737549,39.92268,12.183917,807.5495,2608.249023,1727.985962,66346.21875,521.649414,345.59671,13269.27637,63.288315,1.075,3.825,-0.375,51850.0000000.000000,,15
0,0,0,0,2048,133,268,2115,130,285,367.724945,245.150024,367.725006,73.544991,49.030006,73.544998,207.458267,62.635769,4093.325195,41.491642,12.527129,818.666992,2701.402832,1757.113892,68144.71875,540.280273,351.422333,13628.97949,63.698673,1.025,3.75,-0.325,52650.0000000.000000,,14
0,0,0,0,2129,311,297,2111,126,298,-490.299957,-306.437531,-183.862518,-98.05999,-61.287506,-36.772503,195.568497,53.626503,4138.249512,39.113682,10.725277,827.651978,2796.479736,1784.079712,70104.20313,559.295715,356.815582,14020.87695,64.685829,0.975,3.825,-0.375,53482.0000000.000000,,14
0,0,0,0,2043,136,268,2131,128,297,612.874939,367.725037,490.300018,122.574989,73.545006,98.060005,223.025269,69.928993,4213.021973,44.605049,13.985772,842.606323,2907.830078,1819.731812,72167.95313,581.565613,363.946045,14433.62988,64.949867,0.95,3.8,-0.375,54298.0000000.000000,,14
0,0,0,0,2314,136,184,2131,192,297,-612.874939,-306.437531,-122.575005,-122.574989,-61.287506,-24.515001,189.13327,50.316986,4240.235352,37.826656,10.06337,848.048645,2987.215332,1839.918579,74030.10938,597.442749,367.983429,14806.06641,65.21801,0.925,3.775,-0.225,55128.0000000.000000,,14
